,﻿achieve_1,achieve_2,achieve_3,achieve_4,achieve_5,achieve_6,self_1,self_2,self_3,self_4,self_5,self_6,self_7,self_8,curio_1,curio_2,curio_3,curio_4,curio_5,curio_6,curio_7,curio_8,curio_9,curio_10,curio_11,info_1,info_2,info_3,info_4,info_5,info_6,inter_d_1,inter_d_2,inter_d_3,inter_d_4,inter_d_5,inter_d_6,inter_d_7,inter_d_8,deci_1,deci_2,deci_3,deci_4,deci_5
99,2,2,1,0,2,2,2,1,2,2,3,1,1,2,2,2,2,2,2,3,2,2,2,1,2,2,2,2,2,1,2,1,2,3,3,2,2,1,1,4,3,3,4,3
100,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
101,2,3,2,2,2,2,1,4,3,2,3,1,1,3,2,2,2,2,1,2,3,2,2,1,1,1,1,1,2,1,1,2,2,2,2,2,2,3,1,3,3,3,2,3
102,3,3,2,1,2,2,3,3,3,2,2,1,1,2,3,3,3,3,1,1,1,1,3,2,3,1,1,1,1,1,2,2,1,3,1,2,1,1,1,3,3,3,3,3
103,3,3,1,1,2,2,1,1,2,3,2,1,2,2,2,2,1,1,1,3,2,2,2,3,2,1,1,1,2,1,2,3,2,3,2,1,2,2,2,3,3,3,4,3
104,1,2,2,0,2,3,2,2,2,3,2,3,3,3,2,1,2,2,1,3,2,1,3,2,1,2,2,2,3,1,4,2,2,1,2,1,2,2,2,4,2,3,1,0
105,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
106,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,4,1,2,1,2,4,0,2,2,3,2,2
107,2,1,3,3,2,2,2,3,1,2,3,3,1,4,3,2,2,1,1,3,1,3,3,3,1,1,2,1,1,2,2,2,1,2,2,2,1,1,1,1,3,4,3,2
108,3,2,2,1,2,1,4,2,2,3,2,3,2,3,2,3,3,2,1,3,2,2,4,2,2,2,1,1,1,2,1,2,2,2,1,1,0,1,1,3,2,3,3,2
109,2,0,2,1,3,2,2,4,1,3,2,3,4,4,2,4,3,0,2,1,1,4,0,0,0,0,1,0,0,4,3,2,4,3,2,2,3,1,3,3,1,3,3,1
110,3,2,3,1,2,2,3,2,3,4,3,2,2,4,2,2,1,2,2,3,2,3,1,2,1,0,2,1,1,2,1,3,2,1,1,1,2,2,1,2,2,3,2,3
111,2,2,2,1,2,2,2,2,2,3,3,1,2,2,2,2,2,2,3,3,1,1,1,3,1,1,2,1,2,1,2,3,2,2,2,2,3,2,2,3,2,2,3,3
112,2,2,2,0,2,2,3,2,2,2,3,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,1,3,1,3,3,3,3,3,2,1,2,2,3,2,3,2,2
113,1,2,2,2,2,2,2,3,2,2,3,2,2,2,2,4,4,4,1,3,2,3,4,2,2,2,1,3,3,1,2,0,0,0,3,0,3,1,1,1,2,2,2,2
114,3,2,4,1,3,3,1,2,2,3,3,0,2,4,1,2,1,3,1,0,3,3,2,1,1,0,3,3,1,2,3,2,2,3,0,3,0,1,3,4,1,2,4,1
115,2,3,2,1,3,2,2,2,2,1,2,0,1,3,2,2,2,2,3,3,2,2,1,3,2,0,2,2,2,2,2,3,3,2,2,2,3,2,2,2,2,2,2,2
116,4,1,4,2,2,2,4,4,1,2,4,4,1,2,2,2,2,0,0,4,2,4,0,2,2,2,1,1,0,0,1,2,4,3,2,2,2,0,2,0,2,4,0,4
117,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2
118,3,1,2,1,3,1,1,2,0,3,3,0,2,3,3,3,3,2,0,2,2,4,1,0,2,0,0,0,2,2,2,4,4,4,4,3,3,3,3,0,2,1,2,4
